cluster,n,m,modularity,cpm_score,connectivity,ktruss_vals
184523,23,24,2.607234212001764e-07,21.47,1.0,2.0
16312,95,159,1.727282740228289e-06,114.35,1.0,2.0
136756,28,40,4.3453490763991706e-07,36.22,1.0,3.0
194394,22,23,2.4985876636090963e-07,20.69,1.0,3.0
138012,28,44,4.779884286869264e-07,40.22,1.0,3.0
58263,46,56,6.083521248988069e-07,45.65,1.0,2.0
164028,25,28,3.041720102517911e-07,25.0,1.0,2.0
236025,18,18,1.9553969242855985e-07,16.47,1.0,2.0
116327,31,48,5.214391907161786e-07,43.35,1.0,3.0
2857,126,367,3.9865744046188905e-06,288.25,1.0,7.0
17778,90,159,1.7272124419676285e-06,118.94999999999999,1.0,3.0
236233,18,18,1.9554003137176554e-07,16.47,1.0,3.0
33627,62,87,9.450864298101374e-07,68.09,1.0,3.0
110549,32,35,3.802132094940848e-07,30.04,1.0,2.0
36862,59,102,1.1080250756430535e-06,84.89,1.0,3.0
251992,16,26,2.824481599250988e-07,24.8,1.0,3.0
65659,43,68,7.387063478428157e-07,58.97,1.0,4.0
35676,60,80,8.690517212063155e-07,62.3,1.0,4.0
17097,92,144,1.5642821472137934e-06,102.14,1.0,5.0
194542,22,23,2.4985229610977737e-07,20.69,1.0,3.0
252136,16,19,2.0640470488713338e-07,17.8,1.0,3.0
77827,39,75,8.147581923447083e-07,67.59,1.0,2.0
144911,27,29,3.150382002488642e-07,25.49,1.0,3.0
74620,40,100,1.08633069767907e-06,92.2,2.0,2.0
53880,48,72,7.82165146496354e-07,60.72,1.0,2.0
146478,27,38,4.1281155298225807e-07,34.49,1.0,3.0
15960,96,193,2.096479274813292e-06,147.4,1.0,4.0
164044,25,28,3.041764688832588e-07,25.0,1.0,3.0
71914,41,45,4.888465463892455e-07,36.8,1.0,3.0
2478,138,342,3.7152162011715286e-06,247.47,1.0,6.0
122806,30,31,3.3675300718255466e-07,26.65,1.0,2.0
205906,21,24,2.607186995100717e-07,21.9,1.0,2.0
51713,49,66,7.169739418260454e-07,54.24,1.0,4.0
130382,29,31,3.367553552670798e-07,26.939999999999998,1.0,2.0
68257,42,77,8.364268482427983e-07,68.39,1.0,4.0
164926,25,25,2.715845377001475e-07,22.0,1.0,2.0
52084,49,63,6.844014935043737e-07,51.24,1.0,3.0
42011,55,67,7.278441670706202e-07,52.15,1.0,3.0
89578,36,53,5.757628818055744e-07,46.7,1.0,2.0
137834,28,29,3.1503566198085164e-07,25.22,1.0,2.0
16299,95,183,1.9880032162102756e-06,138.35,1.0,2.0
183538,23,31,3.3675555987807664e-07,28.47,1.0,3.0
3530,115,257,2.791792757484334e-06,191.45,1.0,4.0
85743,37,52,5.648953533250867e-07,45.34,1.0,3.0
2309,146,313,3.4000765969223093e-06,207.14999999999998,1.0,5.0
93937,35,40,4.345270236698917e-07,34.05,1.0,3.0
144877,28,35,3.802191922193178e-07,31.22,1.0,4.0
39448,57,73,7.930309437642303e-07,57.04,1.0,3.0
244832,17,17,1.8467528987893024e-07,15.64,1.0,2.0
154543,26,30,3.2590289751503987e-07,26.75,1.0,3.0
57846,46,73,7.930295669549777e-07,62.65,1.0,4.0
30923,65,130,1.4122235910883067e-06,109.2,1.0,3.0
16874,93,177,1.922716186619128e-06,134.22,1.0,2.0
244529,17,18,1.9554031555534468e-07,16.64,1.0,3.0
110095,32,36,3.910834019300901e-07,31.04,1.0,3.0
51606,49,65,7.061188916069443e-07,53.24,1.0,4.0
2458,139,522,5.670282859616461e-06,426.09000000000003,2.0,7.0
